archivo,linea,batch_request_id,custom_id,request_id,modelo,status_code,prompt_tokens,completion_tokens,total_tokens,cached_tokens,cache_write_tokens,reasoning_tokens,tiene_usage
batch_6aa4eaa54d848190b322f5077c5839cc_output.jsonl,1,batch_req_6aa4eb0293248190afb95c8394db175a,TWDY64XfFHTe5DAOdrLjpd9wOUB3_u9K3ZtgJhiQ6HJULcDH5kQu08cb2,5ae6fbf8-f3f8-4b22-ba34-7e1ab8e7ddec,gpt-5.6-terra,200,11296,31,11327,0,11293,0,True
batch_6aa4eb5ae1bc8190a42a151fe4aaab66_output.jsonl,1,batch_req_6aa4eba3caf48190b299a573fb1530f5,TWDY64XfFHTe5DAOdrLjpd9wOUB3_u9K3ZtgJhiQ6HJULcDH5kQu08cb2,98e32c22-24db-4364-819a-d181eb6a274d,gpt-5.6-terra,200,11198,56,11254,0,11195,0,True
batch_6aa4ebccf2888190be69dc4c16358c0f_output.jsonl,1,batch_req_6aa4ec1aeedc8190a40925e250e4ae30,TWDY64XfFHTe5DAOdrLjpd9wOUB3_u9K3ZtgJhiQ6HJULcDH5kQu08cb2,01eaf6b3-2455-444e-aa18-65c18908e0de,gpt-5.6-terra,200,11258,72,11330,0,11255,23,True
batch_6aa4ec44225c8190946ac91acb35d41a_output.jsonl,1,batch_req_6aa4ec93b560819096cd5de0c81d2bdf,TWDY64XfFHTe5DAOdrLjpd9wOUB3_u9K3ZtgJhiQ6HJULcDH5kQu08cb2,a87e2a28-a2df-4f9c-ba35-940b7b0ab57d,gpt-5.6-terra,200,11301,90,11391,0,11298,32,True
batch_6aa4ecc0ed2c8190b28fd88ebadea97b_output.jsonl,1,batch_req_6aa4ecde8f6c8190b7cc092bb8e75091,TWDY64XfFHTe5DAOdrLjpd9wOUB3_u9K3ZtgJhiQ6HJULcDH5kQu08cb2,e1811373-e4f8-40c4-80ae-ade9ba7e9314,gpt-5.6-terra,200,11357,89,11446,11255,99,35,True
batch_6aa4ed32be2481908c65c889e5f20a89_output.jsonl,1,batch_req_6aa4ed44e75c81908f9bf239037aa355,TWDY64XfFHTe5DAOdrLjpd9wOUB3_u9K3ZtgJhiQ6HJULcDH5kQu08cb2,29559335-798c-4cf0-840d-be33111416dd,gpt-5.6-terra,200,11405,100,11505,11195,207,44,True
batch_6aa4edacad6081908e6af4a9c673278a_output.jsonl,1,batch_req_6aa4edb600ec8190b77b15fe04135709,TWDY64XfFHTe5DAOdrLjpd9wOUB3_u9K3ZtgJhiQ6HJULcDH5kQu08cb2,1dd65a4f-61fe-4178-b183-406d2f6607e7,gpt-5.6-terra,200,11459,116,11575,11354,102,61,True
batch_6aa4ee237fdc81909bfd53382b966711_output.jsonl,1,batch_req_6aa4ee2fd2b4819096092b25cc6e6477,TWDY64XfFHTe5DAOdrLjpd9wOUB3_u9K3ZtgJhiQ6HJULcDH5kQu08cb2,922f0a9d-e625-4044-9bbf-dbbba7f63b5a,gpt-5.6-terra,200,11508,109,11617,11298,207,55,True
batch_6aa4ee9cd89881908988f15de75d5776_output.jsonl,1,batch_req_6aa4eee368a48190b073f948970ae74c,TWDY64XfFHTe5DAOdrLjpd9wOUB3_u9K3ZtgJhiQ6HJULcDH5kQu08cb2,a6ac429e-85f5-473d-bf5d-d129801925f6,gpt-5.6-terra,200,11560,144,11704,0,11557,91,True
batch_6aa4ef13f67c8190a9977c8281d3f30a_output.jsonl,1,batch_req_6aa4ef5618188190b18f4ce75129908b,TWDY64XfFHTe5DAOdrLjpd9wOUB3_u9K3ZtgJhiQ6HJULcDH5kQu08cb2,0ecd0e0c-6e96-4190-9021-93d68aa25743,gpt-5.6-terra,200,11607,107,11714,11402,202,44,True
batch_6aa4ef8e7720819088ab2e0c17362439_output.jsonl,1,batch_req_6aa4efd2cdf481908c4b58314b5129f1,TWDY64XfFHTe5DAOdrLjpd9wOUB3_u9K3ZtgJhiQ6HJULcDH5kQu08cb2,02232ebc-89ea-4f33-a4ac-8a304758e49c,gpt-5.6-terra,200,11668,128,11796,11456,209,64,True
batch_6aa4f002e9c08190af4c98df4e34c75d_output.jsonl,1,batch_req_6aa4f048a03c8190a9d67b59675e0b2b,TWDY64XfFHTe5DAOdrLjpd9wOUB3_u9K3ZtgJhiQ6HJULcDH5kQu08cb2,01bf27f4-822e-454e-b32e-ea0417edd6f0,gpt-5.6-terra,200,11726,142,11868,11604,119,75,True
batch_6aa4f07b5b448190b291ddf2e657071a_output.jsonl,1,batch_req_6aa4f0a0f16c81909cc65e71daa9f00c,TWDY64XfFHTe5DAOdrLjpd9wOUB3_u9K3ZtgJhiQ6HJULcDH5kQu08cb2,419b0e75-28eb-4b70-8049-0cb8eec7b3bb,gpt-5.6-terra,200,11791,170,11961,11557,231,97,True
batch_6aa4f0f868ac8190ac5b33854407044b_output.jsonl,1,batch_req_6aa4f13dcc188190b733b0e18ec092f7,TWDY64XfFHTe5DAOdrLjpd9wOUB3_u9K3ZtgJhiQ6HJULcDH5kQu08cb2,bfc451a3-a09a-4007-81da-5fb0a72e604f,gpt-5.6-terra,200,11858,155,12013,11505,350,100,True
batch_6aa4f173ac448190b573a5b6ea053efc_output.jsonl,1,batch_req_6aa4f29e773c8190a5127925e0e96ab4,TWDY64XfFHTe5DAOdrLjpd9wOUB3_u9K3ZtgJhiQ6HJULcDH5kQu08cb2,a5a6c40d-4200-4505-a486-9d8733da0539,gpt-5.6-terra,200,11911,85,11996,11665,243,43,True
batch_6aa4f2d423388190b7da3922ebb6a622_output.jsonl,1,batch_req_6aa4f31ae07881908e1ff05bed786779,TWDY64XfFHTe5DAOdrLjpd9wOUB3_u9K3ZtgJhiQ6HJULcDH5kQu08cb2,5ee66edd-565b-4b97-be3e-3503de5576e3,gpt-5.6-terra,200,11947,83,12030,11723,221,31,True
batch_6aa4f34cdba481909ad26a370fcb8038_output.jsonl,1,batch_req_6aa4f354d8b88190b86e2a99c9401f86,TWDY64XfFHTe5DAOdrLjpd9wOUB3_u9K3ZtgJhiQ6HJULcDH5kQu08cb2,9507e2dd-1f83-4c3b-8a79-4f7f36336d01,gpt-5.6-terra,200,11997,77,12074,11908,86,35,True
batch_6aa4f3c39c4081909ad9746e95b4d8fb_output.jsonl,1,batch_req_6aa4f3cb712c8190b8e5cafeab1f1944,TWDY64XfFHTe5DAOdrLjpd9wOUB3_u9K3ZtgJhiQ6HJULcDH5kQu08cb2,9a065d21-8d04-4dcc-8746-6efd8cfba18e,gpt-5.6-terra,200,12033,135,12168,11944,86,82,True
